Appearance,Highest,Source,Target,Color,Total Medals
1,Bronze,1,4.0,#CD7F32,27
1,Bronze,1,5.0,#CD7F32,3
1,Bronze,1,6.0,#CD7F32,4
1,Bronze,1,7.0,#CD7F32,9
1,Gold,3,4.0,#D4AF37,25
1,Gold,3,5.0,#D4AF37,13
1,Gold,3,6.0,#D4AF37,11
1,Gold,3,7.0,#D4AF37,9
1,None,0,4.0,#444444,463
1,None,0,5.0,#444444,49
1,None,0,6.0,#444444,51
1,None,0,7.0,#444444,47
1,Silver,2,4.0,#C0C0C0,31
1,Silver,2,5.0,#C0C0C0,2
1,Silver,2,6.0,#C0C0C0,7
1,Silver,2,7.0,#C0C0C0,15
2,Bronze,5,8.0,#CD7F32,37
2,Bronze,5,9.0,#CD7F32,7
2,Bronze,5,10.0,#CD7F32,8
2,Bronze,5,11.0,#CD7F32,15
2,Gold,7,8.0,#D4AF37,30
2,Gold,7,9.0,#D4AF37,9
2,Gold,7,10.0,#D4AF37,12
2,Gold,7,11.0,#D4AF37,29
2,None,4,8.0,#444444,398
2,None,4,9.0,#444444,55
2,None,4,10.0,#444444,47
2,None,4,11.0,#444444,46
2,Silver,6,8.0,#C0C0C0,40
2,Silver,6,9.0,#C0C0C0,6
2,Silver,6,10.0,#C0C0C0,13
2,Silver,6,11.0,#C0C0C0,14
3,Bronze,9,12.0,#CD7F32,55
3,Bronze,9,13.0,#CD7F32,8
3,Bronze,9,14.0,#CD7F32,10
3,Bronze,9,15.0,#CD7F32,4
3,Gold,11,12.0,#D4AF37,47
3,Gold,11,13.0,#D4AF37,12
3,Gold,11,14.0,#D4AF37,16
3,Gold,11,15.0,#D4AF37,29
3,None,8,12.0,#444444,381
3,None,8,13.0,#444444,53
3,None,8,14.0,#444444,42
3,None,8,15.0,#444444,29
3,Silver,10,12.0,#C0C0C0,45
3,Silver,10,13.0,#C0C0C0,9
3,Silver,10,14.0,#C0C0C0,12
3,Silver,10,15.0,#C0C0C0,14
